,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
108490,-8.252774,-10.00834,2.4502385,-2.365206,-7.629035,11.505103,0.36618093,-4.933194,-9.669165,-7.974968,-6.7809253,-1.7493521,-6.623837,1.1363012,3.884979,-2.6603723,6.3018928,6.220597,-7.8864565,-10.97129,13.151273,6.109625,7.790913,6.379672,4.7652287,-5.255339,5.2573137,8.761773,-5.0129323,-1.1142458,6.74155,-2.6463408,-2.085764,-7.294745,-7.2377315,4.190485,0.07104274,-9.628262,-3.0678377,8.753474,1.3973032,-0.23754469,-3.8534951,2.0545819,-6.0713944,-9.568811,-4.484237,-3.2998827,-9.567383,4.1635685,11.635015,1.4116946,-3.7643676,-4.05986,1.4942931,3.7147691,-11.302743,-6.1579437,6.1264033,-8.09703,7.7273526,5.4761806,-8.845444,10.232448,-4.7025504,6.6422744,3.4773664,7.344727,-3.7264016,-7.459748,-5.616961,8.719683,-8.109022,1.3083372,-0.7917385,-0.6319602,-6.0754304,-9.185613,-9.11807,2.82016,1.7660234,2.0187764,-9.030209,-10.5064945,2.1055174,-5.450561,-2.4372516,-5.625363,-7.6832795,2.9094377,0.4138204,6.9928684,-4.6021147,7.69111,0.48888665,2.8966918,-11.162085,-6.6185517,0.03900437,-0.52812886,4.83489,-5.744869,-3.2090871,-6.7114434,-11.036822,2.6411881,0.39037555,2.0529878,11.670466,7.875469,0.16181587,0.9550853,3.1308727,-5.35399,2.0178187,-4.3186927,-2.1314747,-4.1558475,8.489231,0.052346036,10.0306225,-5.3043804,-8.2446995,-6.517928,2.7056196,-5.7876754,6.8723173,-8.46892
108491,-8.759756,-7.1333084,-0.6275911,-5.2065516,-8.022506,8.743834,-1.0989709,-2.7651181,-8.49524,-3.5034945,-4.310358,0.35846218,-7.81767,2.8644538,3.209784,0.040269487,7.030227,6.1569357,-8.396363,-9.298483,8.749761,3.39354,4.7032285,4.874997,5.3523674,-5.709786,2.1697915,3.567794,-1.6192508,-1.4888848,4.257241,0.9009206,1.6527034,-6.8136992,-7.1818466,1.105389,-1.3091757,-7.620037,-5.204189,6.9399776,2.1386075,0.006241773,-1.4322894,-0.5372657,-2.743186,-7.171067,-0.7862683,-2.0042713,-6.821538,1.2134794,8.201477,3.3197584,-2.1799397,-5.256629,-2.1049964,1.6202219,-7.8999047,-2.4257574,3.1049275,-7.5333734,7.8804436,4.5091815,-5.071872,9.184343,-4.7659836,6.622788,1.7604841,8.324602,-0.7373173,-7.470477,-7.1006346,2.6844332,-7.235919,0.91263247,-4.162112,2.4156415,-4.119677,-6.1505003,-7.589091,3.5976672,1.3202101,1.8754909,-6.6157465,-7.4283557,1.0720315,-2.1375685,-1.0607235,-4.943757,-6.7928276,-0.29619992,0.27278814,6.9528065,-4.207407,8.099732,-3.353151,5.539978,-7.9821577,-4.0371065,2.4098675,0.16056915,1.3773199,-5.5081143,-2.8372352,-5.6403885,-7.5320015,1.4652826,1.5069555,1.2299583,8.258209,4.596902,2.8019614,1.2139521,0.5137922,-3.7252622,1.2581499,-0.67332727,1.0345669,-2.7653074,5.7826385,-1.2561498,7.4405465,-0.7454774,-8.503339,-2.618777,3.6381335,-5.833642,2.3613086,-5.447535
108492,-7.579075,-6.2820945,-1.7946886,-4.666381,-8.040098,7.7209697,-3.0899167,-3.6916664,-5.454268,-3.8545828,-3.628225,2.3436494,-7.033131,3.547389,3.7535555,1.7770201,5.826849,5.1433077,-7.1591716,-6.8953257,6.039138,2.7654505,4.610751,5.248519,5.261606,-5.461095,1.373894,2.345813,-0.69344324,-0.63931596,3.5992982,2.981533,2.575761,-6.2897224,-7.712661,-0.9362398,-3.4829817,-6.3980403,-3.415079,6.902405,2.4765854,-1.1351807,1.12651,-0.73183906,-2.7352996,-4.6421676,0.32987255,-0.08764058,-6.134817,-0.2229343,5.823001,2.180929,0.28217688,-6.057349,-3.591606,-1.0377141,-5.6544046,-0.48085618,0.9007477,-6.236388,7.556545,1.4022348,-3.580284,7.0059304,-4.656281,5.4356537,-0.324987,6.611391,-2.3543355,-5.5826626,-7.575439,2.1632953,-7.668342,-0.7072016,-2.5272026,4.0716767,-1.892666,-6.8468575,-4.6656895,1.8513913,2.6543996,2.7066734,-7.211181,-6.007465,-0.33569705,-4.0881686,-2.0396447,-6.098845,-6.693784,0.7291745,-2.6247313,6.5260506,-4.3831744,7.819174,-2.1491416,6.0395136,-6.380017,-1.621925,3.0786753,-1.6648519,-1.069898,-3.2783432,-3.4038727,-2.8795125,-7.2621775,0.4259291,-1.5388827,3.2337556,5.7840395,2.1989365,4.7675614,-0.8734269,-2.2188528,-2.3081784,1.1156865,1.717018,1.7321684,-2.8551698,5.4483805,0.60750353,6.2736,1.2259173,-7.485843,-1.1013806,4.9327917,-6.4091496,0.024861716,-2.8715322
108493,-7.2071404,-4.1919127,-4.604074,-4.67432,-5.5534725,5.5622745,-4.3455,-2.2563953,-2.6705816,-0.33507472,0.00025850534,4.6711354,-6.860433,5.770014,4.4997663,3.6187825,5.5472717,4.928505,-7.054118,-3.36133,0.9157018,1.327807,2.8303201,4.3391533,6.021725,-4.201088,-1.951194,-1.6447089,-0.4178126,0.35099,2.0421405,4.4213085,6.0707755,-6.2458177,-6.417756,-2.7303028,-5.2266903,-4.505645,-2.6799333,5.253839,1.841361,0.9633707,2.7438922,-2.60258,-0.9312677,-1.1407804,2.7543986,3.7255602,-4.3685527,-2.720942,1.5055417,1.5964679,-0.62459755,-5.4999533,-5.7526846,-2.6309342,-2.7292767,2.5640304,-0.63788146,-2.787613,5.5769897,-0.65388477,0.94315374,3.8114192,-2.3293493,5.30071,-1.9152981,5.405806,-1.3565912,-2.6390483,-6.549036,-1.7269871,-3.6222064,-1.6197366,-5.1446137,3.8073478,1.2607443,-3.867883,-1.1890954,2.4409866,1.5376993,4.023102,-4.0038424,-3.4992027,-1.7881563,-2.3205662,-3.3920004,-4.39958,-5.0956054,-1.5720203,-2.4014812,5.3438926,-0.53312576,6.248509,-4.7367754,6.5419607,-3.1030884,1.6522455,1.8869784,-3.3044927,-4.395289,-2.7055821,-4.394155,-3.0193188,-3.45452,-1.4978029,0.5509994,3.1277106,2.5459602,-2.3420458,5.2614026,-2.4779348,-3.098394,-3.1600192,-2.5185137,4.6314774,4.927287,-2.0694737,4.275425,-0.34795457,4.0632715,3.8524325,-5.7687535,2.112556,4.0583587,-5.652261,-3.9228096,0.38205385
108494,-8.582227,-6.140819,-1.4504118,-5.2499375,-8.14695,7.9848824,-1.404204,-1.5717508,-7.364511,-1.9866525,-3.9108462,0.8528332,-8.490477,3.184593,3.7416801,0.6398184,7.654878,5.1106925,-8.409778,-7.9025073,6.689922,2.8519676,3.7962048,4.236789,5.2047787,-6.9906173,1.6857101,2.090757,-0.9243916,-2.213227,2.612816,2.4318266,3.2815466,-6.528421,-7.2390447,0.22580872,-2.0843089,-7.213733,-4.802667,6.3755608,1.5579414,-0.53292155,-0.38043234,-1.9634917,-1.1216239,-6.4678144,0.43601367,-0.935469,-6.5589695,0.1961006,6.709444,4.223463,-0.9969966,-6.0199885,-3.8196516,0.63323,-6.7077727,-1.2905676,2.2312224,-6.586025,8.049882,3.1181798,-4.1447024,7.954442,-5.236493,6.8526306,1.3414111,7.901886,0.015159108,-7.175993,-7.9954953,1.1347272,-7.016437,0.8719528,-4.8802714,4.0531087,-3.1914134,-5.808908,-6.3139153,3.3532991,0.8364066,1.9109827,-5.9416723,-5.7546444,0.9563018,-2.2192025,-0.8328527,-4.789757,-6.185657,-0.22215837,-0.78197944,6.335505,-3.7001898,7.9132385,-4.245869,6.4613233,-6.6655216,-3.0489423,3.6939526,0.24233682,-0.23820661,-5.4790173,-2.6086926,-4.790784,-6.6270237,1.7206854,0.60669845,1.7802465,6.7642803,3.2444124,4.065923,1.4960831,-1.2501553,-2.7655973,1.2596602,0.9737109,2.547462,-3.177879,4.745033,-2.0294724,5.8577704,1.1151857,-8.569725,-0.16503975,4.300578,-5.7928414,0.4948733,-4.165176
108495,-5.2999196,-0.57437783,-4.114453,-8.95293,-6.8836,1.2902982,-1.9063056,-2.9200778,-6.9777474,-2.2729213,1.9483039,3.0859835,-0.8634464,2.5188737,-0.9256219,3.123137,1.3987012,4.413537,-3.248058,-7.8669224,4.287454,0.5892967,2.151439,2.7341084,1.855165,-0.63749975,-2.4216661,-1.5398176,4.805827,-1.0126785,3.6062403,2.4554448,0.96541405,-1.1787124,-4.9911623,-2.6450737,-0.34584823,-0.46086425,-8.787633,3.356093,6.8481402,2.9078352,2.1894298,2.4253814,-0.8786639,-1.8216567,4.9212203,-3.2967527,3.1139934,-3.858469,4.472195,2.7633789,-0.46772504,-5.704263,-1.8841405,0.38810036,-1.6414502,3.5999157,-4.44562,-6.236814,4.8124857,5.061105,0.051556904,7.1871586,-4.8516154,0.7613875,-1.9276888,7.649423,2.012754,-8.20896,-4.544378,-2.8308878,-5.1156845,-3.2604146,-4.6395864,2.6653967,-0.5148401,-1.8537365,-5.0953426,2.011648,3.096661,0.8902298,-3.1295311,-2.6424828,-2.9367006,4.5682964,3.308528,-4.775499,-5.176722,-3.3149958,1.2057267,6.483819,-5.168199,6.5536156,-5.0735292,5.1035933,-4.649966,0.4828707,3.6235573,2.6741676,0.8833166,-1.6948866,-1.5190275,1.0055625,-1.0523566,-4.159187,2.6862886,-0.5990413,2.989212,1.2395904,0.94454575,0.771869,0.20064005,0.7545094,2.2879357,0.9826397,1.2039548,1.4452757,0.13995689,1.3642756,2.7368402,3.346941,-4.8426676,-3.4633873,5.515797,-6.1523247,-1.2071018,0.838486
108496,-3.5973873,-0.43561578,-4.490386,-6.8582616,-5.661829,0.64791405,-4.9585767,-3.956758,-1.7682469,-1.6678864,1.4227841,5.107029,-1.4081,3.547116,-0.7097622,5.2997813,0.096565105,3.9957376,-2.2300947,-3.7410274,0.62869304,-1.3329594,1.088407,2.9672606,2.9304752,0.16137987,-3.0950181,-3.0947778,5.13976,1.5206853,2.6484156,4.8815374,2.0162153,-1.821163,-5.001044,-5.1128483,-3.5557868,0.40235454,-5.106879,2.805199,6.0246067,0.051451396,4.471041,1.1263477,-1.3353944,1.6517874,4.124459,-0.4503549,2.1491888,-3.690298,0.8254491,0.3319605,2.740722,-4.6972733,-3.5668077,-3.636861,1.1774495,4.7605343,-5.2332926,-4.681003,3.9180589,0.38263854,1.8443749,4.1746483,-2.6985617,-0.27164474,-4.4611926,4.657725,-0.77164876,-3.357729,-4.531614,-3.1977932,-5.3857536,-3.7341425,-1.5298687,4.509258,1.5837452,-1.7850293,-1.3254355,0.09428607,4.7207246,1.5806483,-3.8355088,-1.7733124,-3.5127647,0.9441615,0.78883713,-5.0091505,-4.519693,-2.6159983,-2.3704095,5.266049,-5.2146792,5.8815103,-2.4259279,5.2121263,-1.5114415,2.9217007,3.2891786,-1.0140835,-2.9119613,1.527997,-2.111886,2.681561,-1.4049929,-4.0858765,-1.1699338,1.5188715,-0.22403343,-1.687231,4.469668,-2.81815,-3.4184062,1.4938283,1.2334121,3.9931104,1.3341364,1.8881314,0.7706078,3.87325,2.3904684,4.5229964,-3.248095,-1.4125627,5.0875926,-5.1963105,-3.493344,2.6753695
108497,-8.528401,-9.576926,2.0942092,-2.8723834,-8.099757,11.323757,0.884696,-4.478198,-10.48265,-7.956213,-6.2530446,-1.8020111,-6.408785,0.94916034,4.266771,-2.94438,6.7369967,5.70503,-7.9442887,-11.424995,13.186519,6.7331986,8.047019,6.256316,4.2631736,-5.918389,5.279279,8.777053,-4.941259,-2.1746607,6.443114,-2.5811954,-1.7865314,-6.8590007,-7.488446,4.491458,0.45276725,-9.550106,-3.7265575,8.872823,1.4862378,0.42206544,-3.6500695,2.0764177,-5.40995,-10.122806,-3.5567887,-3.3725731,-8.986419,3.3354568,11.84373,2.2951465,-4.064543,-4.916612,1.2467909,4.302003,-11.536415,-5.788246,5.6374655,-7.8725314,8.030436,5.9596753,-8.875396,10.279089,-5.623386,6.8923664,3.8239996,7.822343,-2.9775555,-8.651475,-5.9676356,8.407165,-8.031426,0.9485616,-1.664232,-0.4559767,-5.9709597,-9.418873,-9.272997,3.010729,1.3664196,2.108041,-8.732795,-10.035887,1.8744018,-4.8224297,-1.8153354,-5.818527,-7.689547,3.1364396,0.62920946,7.140286,-4.298139,7.683146,-0.50015813,3.2556546,-11.617896,-6.631594,0.62219006,0.3083203,5.178583,-6.3865547,-3.1382136,-6.4177985,-10.592349,2.4167151,0.71639013,2.0624874,11.861066,7.9558673,-0.37643972,1.8250866,3.3098085,-5.045261,2.3310106,-4.337334,-1.5324237,-4.6176167,8.015778,-0.7066567,9.407399,-4.6506314,-8.551,-6.120072,3.5024052,-6.3311,6.504662,-8.007338
108498,3.352798,1.9805982,3.6971564,3.4039285,3.0494156,-2.3684053,3.718102,4.018622,1.2386377,2.9841614,-2.034258,-4.559832,0.6025171,-3.6485138,-2.02159,-3.2231607,-0.40339878,-3.4337106,2.427402,2.3968139,-0.7976884,-1.3436792,-3.3052468,-3.71164,-2.9744143,-0.46737567,2.2255304,0.5483564,-0.4526103,-1.6826174,-3.4038951,-2.0659673,-1.9529569,2.5899992,4.086177,2.381311,3.396743,0.97916126,1.8389422,-3.7125812,-3.524552,-2.251835,-2.900003,-1.4662179,2.7399976,-1.1166894,-2.5972822,-2.2391453,0.064765915,2.9404697,-0.92827463,1.2700748,0.69270676,3.4797158,1.9486123,1.916048,0.85825557,-2.9732535,2.6911047,1.4151138,-2.385357,0.31136245,-1.4601566,-2.1200309,1.0387762,-0.8934732,2.8802485,-2.831758,2.6020377,1.3482851,2.4252481,0.015805922,2.1268673,3.662658,1.5364506,-0.7473969,-2.2343836,2.9623272,-0.14317662,-0.3328398,-2.9502056,-3.3764203,3.178973,2.6045215,3.3702762,1.1951705,2.3513756,4.0614276,3.8975744,0.6748414,1.7481025,-4.0925303,0.73863095,-3.5415707,1.5259733,-3.0531044,2.6032307,-2.6551223,0.2347382,2.8675718,1.9811097,-0.40387687,3.5926855,-0.4878824,1.6843181,3.9617217,-0.0804352,-2.5223806,-1.1791627,2.172184,-1.5780195,3.571929,0.9344606,1.6639323,1.7781478,-2.4883327,-1.7899727,0.2243978,-2.833883,-2.7782443,-2.8526545,-2.0681546,1.9324988,1.673862,-3.4153492,4.7263017,2.3492732,-2.0676546
108499,-6.722443,-9.892636,1.8184037,-1.6610839,-5.494026,10.598469,-0.4300885,-8.3396,-8.925837,-11.594522,-3.8795629,0.06776737,-1.9238827,1.5065086,3.2918282,-2.1683376,2.2733192,7.026008,-5.424043,-10.749302,13.547292,7.191082,9.95204,7.844673,4.170236,-0.23251182,3.899796,9.979985,-5.894847,1.4914341,10.035678,-4.959593,-4.515044,-6.2779255,-6.5331187,4.3279467,0.04786057,-7.6116543,-2.2419376,9.28927,3.576663,2.8454785,-3.3608518,6.09721,-9.559202,-7.141257,-4.4398623,-2.5339365,-7.109713,3.348898,11.326615,-2.5185266,-5.905505,-2.7278624,4.495815,3.9797122,-10.834015,-5.3064976,4.776865,-6.7082615,5.19163,5.8567653,-7.411214,9.353944,-2.5453765,3.8470478,1.9013833,5.872745,-6.4360876,-5.772705,-2.2086096,10.763876,-6.067879,-1.7102909,1.2598693,-4.7050157,-4.183276,-9.35207,-7.6387296,1.814471,3.5270288,3.537243,-9.183618,-11.814671,-0.5603761,-5.379099,-4.1231384,-6.267406,-8.232628,3.141076,1.1657344,7.5070486,-3.4630394,6.265985,2.5713484,0.4073953,-12.105417,-4.906059,-3.7408414,-2.461416,6.1504855,-3.3865604,-4.9306245,-5.3682756,-10.187666,-1.2546716,1.5833269,2.4468167,11.585493,6.8487406,-3.1493094,-2.2976017,5.826005,-6.7341504,0.123746395,-5.651194,-3.9467762,-2.7882178,9.586735,3.5980482,11.128088,-7.1782985,-5.352461,-10.865215,2.242221,-6.6480503,7.6706033,-6.8958807
